id,question,correct_answer,model_prediction,is_correct,raw_response,evidence
0,A junior orthopaedic surgery resident is completin...,B,A,False,"A

Explanation: According to best medical practices, the resident should disclose the error to the patient and include it in the operative report. This ensures transparency and proper documentation of the event, which is crucial for patient care and legal reasons.",Fact about Disclose the error to the patient and put it in the operative report: The terms medical r...
1,A 67-year-old man with transitional cell carcinoma...,D,A,False,"A

Explanation: The patient experienced sensorineural hearing loss after receiving neoadjuvant chemotherapy, which suggests the involvement of a drug that inhibits proteasomes. Proteasome inhibitors, such as bortezomib, have been associated with ototoxicity, leading to sensorineural hearing loss. This aligns with the context provided about proteasome inhibition and its potential side effects on hearing.",Fact about Inhibition of proteasome: Proteasome inhibitors (INN stem –zomib) are drugs that block th...
2,Two weeks after undergoing an emergency cardiac ca...,B,B,True,"B

The patient's presentation includes decreased urinary output, mottled discoloration of the feet (livedo reticularis), elevated leukocyte count with a predominance of neutrophils, and intravascular spindle-shaped vacuoles seen on renal biopsy. These findings are consistent with cholesterol embolization syndrome, where cholesterol crystals from atherosclerotic plaques can travel through the bloodstream and lodge in small vessels, leading to ischemia and tissue damage, particularly in the skin",Fact about Renal papillary necrosis: Renal papillary necrosis is a form of nephropathy involving the...
3,A 39-year-old woman is brought to the emergency de...,D,C,False,"C

Explanation: The patient's symptoms and laboratory findings suggest a severe infection, possibly sepsis, with signs of disseminated intravascular coagulation (DIC). The presence of a phosphorylated N-acetylglucosamine dimer with 6 fatty acids attached to a polysaccharide side chain suggests the identification of a bacterial endotoxin, which is characteristic of gram-negative bacteria. Given the context of the question, the most likely organism to be cultured from this patient would","Fact about Spore-forming, gram-positive bacilli forming yellow colonies on casein agar: An agar plat..."
4,A 35-year-old man comes to the physician because o...,B,B,True,"B

Explanation: The patient's symptoms of itchy, watery eyes, sneezing, and a history of similar episodes around springtime suggest allergic conjunctivitis. The most appropriate treatment would be an antihistamine or mast cell stabilizer, which is provided by Ketotifen eye drops. Erythromycin ointment is an antibiotic and would not be effective for allergic conjunctivitis. Warm compresses are used for conditions like blepharitis or me",Fact about Erythromycin ointment: Erythromycin (sometimes abbreviated ETM in reports) is an antibiot...
5,A 39-year-old man presents to the emergency depart...,D,B,False,"B

Explanation: Given the patient's presentation of chest pain radiating to the epigastric area, diaphoresis, and marked distress, along with a history of hypertension and substance abuse, the most appropriate initial step in management would be to use a beta-blocker like Labetalol to control the heart rate and reduce myocardial oxygen demand. Labetalol is a non-selective alpha and beta-adrenergic receptor blocker, making it suitable for this scenario where both","Fact about Diltiazem: Diltiazem, sold under the brand name Cardizem among others, is a nondihydropyr..."
6,A 68-year-old male comes to the physician for eval...,C,A,False,"A

The patient's symptoms of right flank pain, hypertension, and imaging findings of dilation of the right ureter and renal pelvis are consistent with renovascular hypertension due to renal artery stenosis. This condition can lead to decreased blood flow to the kidney and subsequent renal damage, causing hydronephrosis (dilation of the ureter and renal pelvis). The patient's history of diabetes and peripheral artery disease also supports atherosclerotic involvement.",Fact about Renal artery stenosis: Renal artery stenosis (RAS) is the narrowing of one or both of the...
7,A 65-year-old man is brought to the emergency depa...,C,C,True,"C

Explanation: Given the patient's history of acute coronary syndrome, undergoing percutaneous transluminal coronary angioplasty, and the need to reduce the risk of future cardiovascular events, clopidogrel (Plavix) should be added to the medication regimen. This aligns with the use of dual antiplatelet therapy in patients who have undergone PCI.","Fact about Nifedipine: Nifedipine ( nə-FEH-də-peen), sold under the brand name Procardia among other..."
8,A 37-year-old-woman presents to her primary care p...,B,A,False,"A

Explanation: A history of stroke or venous thromboembolism makes copper IUD placement contraindicated due to the increased risk of thrombotic events associated with hormonal contraceptives in patients with these conditions.",Fact about A history of stroke or venous thromboembolism: Venous thrombosis is the blockage of a vei...
9,A 23-year-old woman comes to the physician because...,A,C,False,"C

Explanation: The context provided describes dental fluorosis, which is characterized by hypocalcification of tooth enamel leading to intrinsic tooth discoloration and physical damage to the teeth. Given that the patient is embarrassed about the appearance of her nails and considering the description of dental fluorosis, it is most likely that she would also have erosions of the dental enamel, making option C the correct choice. Options A, B, and D do not relate to the described condition of dental fluorosis.","Fact about Erosions of the dental enamel: Dental fluorosis is a common disorder, characterized by hy..."
