id,category,is_correct,prediction,correct_answer
0,Treatment,False,Unknown,B
1,Mechanism,False,Unknown,D
2,Diagnosis,False,Unknown,B
3,Mechanism,False,Unknown,D
4,Treatment,False,Unknown,B
5,Treatment,False,B,D
6,Diagnosis,False,Unknown,C
7,Treatment,False,Unknown,C
8,Contraindication,False,Unknown,B
9,Treatment,False,Unknown,A
10,Diagnosis,False,Unknown,D
11,Diagnosis,False,Unknown,D
12,Diagnosis,False,Unknown,B
13,Mechanism,False,Unknown,D
14,Mechanism,False,Unknown,C
15,Diagnosis,False,Unknown,B
16,Mechanism,False,Unknown,D
17,Mechanism,True,D,D
18,Treatment,False,Unknown,B
19,Diagnosis,False,Unknown,D
20,Diagnosis,False,Unknown,C
21,Mechanism,False,Unknown,A
22,Diagnosis,False,Unknown,C
23,Mechanism,False,Unknown,D
24,Treatment,False,Unknown,A
25,Mechanism,False,Unknown,D
26,Mechanism,False,Unknown,D
27,Mechanism,False,Unknown,A
28,Treatment,False,Unknown,D
29,Treatment,False,Unknown,C
30,Diagnosis,False,Unknown,D
31,Diagnosis,False,Unknown,C
32,Treatment,False,Unknown,D
33,Diagnosis,False,Unknown,B
34,Treatment,False,Unknown,A
35,Diagnosis,False,Unknown,A
36,Diagnosis,False,Unknown,D
37,Diagnosis,False,Unknown,A
38,Treatment,False,Unknown,D
39,Mechanism,False,Unknown,A
40,Diagnosis,False,Unknown,C
41,Treatment,False,Unknown,C
42,Mechanism,False,Unknown,A
43,Mechanism,False,Unknown,B
44,Diagnosis,False,Unknown,A
45,Treatment,False,Unknown,D
46,Treatment,False,Unknown,C
47,Diagnosis,False,Unknown,A
48,Treatment,False,Unknown,B
49,Mechanism,False,Unknown,C
50,Mechanism,False,Unknown,D
51,Diagnosis,False,Unknown,A
52,Diagnosis,False,Unknown,D
53,Treatment,False,Unknown,C
54,Diagnosis,False,Unknown,A
55,Diagnosis,False,Unknown,A
56,Treatment,False,Unknown,C
57,Mechanism,False,Unknown,B
58,Diagnosis,False,Unknown,C
59,Diagnosis,False,Unknown,A
60,Diagnosis,False,Unknown,C
61,Mechanism,False,Unknown,A
62,Diagnosis,False,Unknown,D
63,Treatment,False,Unknown,A
64,Treatment,False,Unknown,A
65,Diagnosis,False,Unknown,B
66,Treatment,False,Unknown,C
67,Diagnosis,False,Unknown,B
68,Treatment,False,Unknown,D
69,Treatment,False,Unknown,A
70,Diagnosis,False,Unknown,A
71,Diagnosis,False,Unknown,A
72,Treatment,False,Unknown,C
73,Treatment,False,Unknown,B
74,Diagnosis,False,Unknown,C
75,Diagnosis,False,Unknown,A
76,Treatment,False,Unknown,B
77,Diagnosis,False,Unknown,B
78,Diagnosis,False,Unknown,C
79,Treatment,False,Unknown,C
80,Mechanism,False,Unknown,B
81,Diagnosis,False,Unknown,A
82,Diagnosis,False,Unknown,C
83,Diagnosis,False,Unknown,A
84,Mechanism,False,Unknown,C
85,Diagnosis,False,Unknown,B
86,Treatment,False,Unknown,C
87,Treatment,True,C,C
88,Diagnosis,False,Unknown,C
89,Treatment,False,Unknown,B
90,Diagnosis,False,Unknown,D
91,Mechanism,False,Unknown,B
92,Diagnosis,False,Unknown,C
93,Mechanism,False,Unknown,D
94,Mechanism,False,Unknown,C
95,Diagnosis,False,Unknown,D
96,Diagnosis,False,Unknown,A
97,Mechanism,False,Unknown,B
98,Treatment,False,Unknown,B
99,Treatment,False,Unknown,B
100,Diagnosis,False,Unknown,D
101,Treatment,False,Unknown,A
102,Treatment,False,Unknown,A
103,Diagnosis,False,Unknown,A
104,Diagnosis,False,Unknown,B
105,Diagnosis,False,Unknown,B
106,Treatment,False,Unknown,B
107,Mechanism,False,Unknown,A
108,Treatment,False,Unknown,D
109,Diagnosis,False,Unknown,B
110,Diagnosis,False,Unknown,C
111,Treatment,False,Unknown,B
112,Mechanism,False,Unknown,B
113,Treatment,False,Unknown,C
114,Diagnosis,False,Unknown,C
115,Mechanism,False,Unknown,D
116,Mechanism,False,Unknown,C
117,Diagnosis,False,Unknown,C
118,Diagnosis,False,Unknown,D
119,Treatment,False,Unknown,C
120,Treatment,False,Unknown,D
121,Mechanism,False,Unknown,A
122,Mechanism,False,Unknown,D
123,Diagnosis,False,Unknown,A
124,Mechanism,False,Unknown,B
125,Treatment,False,Unknown,A
126,Diagnosis,False,Unknown,A
127,Mechanism,False,Unknown,C
128,Diagnosis,False,Unknown,A
129,Mechanism,False,Unknown,A
130,Diagnosis,False,Unknown,B
131,Mechanism,False,Unknown,B
132,Diagnosis,False,Unknown,A
133,Diagnosis,False,Unknown,B
134,Mechanism,False,Unknown,A
135,Mechanism,False,Unknown,C
136,Diagnosis,False,Unknown,C
137,Mechanism,False,Unknown,D
138,Treatment,False,Unknown,B
139,Mechanism,False,Unknown,D
140,Treatment,False,Unknown,C
141,Treatment,False,Unknown,A
142,Mechanism,False,Unknown,A
143,Mechanism,False,Unknown,B
144,Treatment,False,Unknown,C
145,Diagnosis,False,Unknown,D
146,Diagnosis,False,Unknown,C
147,Treatment,False,Unknown,D
148,Diagnosis,False,Unknown,B
149,Mechanism,False,Unknown,D
150,Treatment,False,Unknown,A
151,Mechanism,False,Unknown,D
152,Mechanism,False,Unknown,A
153,Treatment,False,Unknown,A
154,Diagnosis,False,Unknown,C
155,Diagnosis,False,Unknown,D
156,Treatment,False,Unknown,B
157,Mechanism,False,Unknown,A
158,Treatment,False,Unknown,C
159,Diagnosis,False,Unknown,B
160,Mechanism,False,Unknown,C
161,Diagnosis,False,Unknown,B
162,Diagnosis,False,Unknown,C
163,Diagnosis,False,Unknown,A
164,Mechanism,False,Unknown,A
165,Mechanism,False,Unknown,B
166,Diagnosis,False,Unknown,B
167,Diagnosis,False,Unknown,C
168,Treatment,False,Unknown,B
169,Mechanism,False,Unknown,C
170,Mechanism,False,Unknown,C
171,Diagnosis,False,Unknown,D
172,Treatment,False,Unknown,C
173,Mechanism,False,Unknown,A
174,Mechanism,False,Unknown,D
175,Treatment,False,Unknown,D
176,Mechanism,True,D,D
177,Diagnosis,False,Unknown,C
178,Diagnosis,False,Unknown,D
179,Diagnosis,False,Unknown,C
180,Diagnosis,False,Unknown,B
181,Mechanism,False,Unknown,D
182,Diagnosis,False,Unknown,B
183,Mechanism,False,Unknown,D
184,Treatment,False,Unknown,A
185,Diagnosis,False,Unknown,D
186,Mechanism,False,Unknown,B
187,Treatment,False,Unknown,B
188,Diagnosis,False,Unknown,D
189,Diagnosis,False,Unknown,C
190,Treatment,False,Unknown,A
191,Mechanism,False,Unknown,C
192,Mechanism,False,Unknown,D
193,Mechanism,False,Unknown,C
194,Mechanism,False,Unknown,C
195,Mechanism,False,Unknown,C
196,Mechanism,False,Unknown,A
197,Diagnosis,False,Unknown,B
198,Treatment,False,C,D
199,Mechanism,False,Unknown,C
200,Diagnosis,False,Unknown,A
201,Treatment,False,Unknown,B
202,Diagnosis,False,Unknown,C
203,Treatment,False,Unknown,A
204,Mechanism,False,Unknown,B
205,Treatment,False,Unknown,B
206,Mechanism,False,Unknown,C
207,Diagnosis,False,Unknown,A
208,Mechanism,False,Unknown,B
209,Diagnosis,False,Unknown,A
210,Mechanism,False,Unknown,C
211,Diagnosis,False,Unknown,B
212,Mechanism,False,Unknown,D
213,Diagnosis,False,Unknown,A
214,Diagnosis,False,Unknown,B
215,Treatment,False,Unknown,C
216,Diagnosis,False,Unknown,D
217,Treatment,False,Unknown,C
218,Mechanism,False,Unknown,D
219,Diagnosis,False,Unknown,A
220,Diagnosis,False,Unknown,C
221,Treatment,False,Unknown,A
222,Mechanism,False,Unknown,C
223,Diagnosis,False,Unknown,A
224,Mechanism,False,Unknown,B
225,Diagnosis,False,Unknown,C
226,Treatment,False,Unknown,C
227,Treatment,False,Unknown,C
228,Diagnosis,False,Unknown,A
229,Treatment,False,Unknown,D
230,Diagnosis,False,Unknown,B
231,Diagnosis,False,Unknown,A
232,Treatment,False,Unknown,C
233,Diagnosis,False,Unknown,A
234,Diagnosis,False,Unknown,C
235,Mechanism,False,B,A
236,Mechanism,False,Unknown,A
237,Mechanism,False,Unknown,B
238,Mechanism,False,Unknown,A
239,Diagnosis,False,Unknown,A
240,Diagnosis,False,Unknown,D
241,Diagnosis,False,Unknown,B
242,Diagnosis,False,Unknown,A
243,Treatment,False,Unknown,A
244,Diagnosis,False,Unknown,D
245,Treatment,False,Unknown,C
246,Diagnosis,False,Unknown,A
247,Treatment,False,Unknown,D
248,Mechanism,False,Unknown,B
249,Diagnosis,False,Unknown,B
250,Treatment,False,Unknown,A
251,Treatment,False,Unknown,B
252,Treatment,False,Unknown,A
253,Diagnosis,False,Unknown,D
254,Treatment,False,Unknown,A
255,Mechanism,False,Unknown,C
256,Diagnosis,False,Unknown,C
257,Treatment,False,Unknown,D
258,Treatment,False,Unknown,D
259,Diagnosis,False,Unknown,D
260,Diagnosis,False,Unknown,C
261,Diagnosis,False,Unknown,C
262,Diagnosis,False,Unknown,D
263,Treatment,False,Unknown,C
264,Mechanism,False,Unknown,A
265,Mechanism,False,Unknown,D
266,Mechanism,False,Unknown,A
267,Mechanism,False,Unknown,D
268,Mechanism,False,Unknown,D
269,Mechanism,False,Unknown,C
270,Diagnosis,False,Unknown,C
271,Diagnosis,False,Unknown,B
272,Mechanism,False,Unknown,C
273,Diagnosis,False,Unknown,A
274,Diagnosis,False,Unknown,A
275,Mechanism,False,Unknown,A
276,Treatment,False,Unknown,C
277,Mechanism,False,Unknown,D
278,Treatment,False,Unknown,A
279,Treatment,False,Unknown,B
